source,suspicious,label
"Solar panels convert sunlight into electricity.","Converting sunlight into electricity is achieved by solar panels.",0
"The concept of black holes is explored in astrophysics.","Astrophysics explores the concept of black holes.",0
"The development of the printing press revolutionized communication.","Communication was revolutionized by the development of the printing press.",0
"The human immune system protects against infections.","Protection against infections is provided by the human immune system.",0
"The concept of democracy is based on the principles of equality and representation.","Equality and representation are principles underlying the concept of democracy.",0
"Nuclear energy is harnessed for electricity generation.","Electricity generation involves harnessing nuclear energy.",0
"The process of globalization connects economies and cultures worldwide.","Connecting economies and cultures worldwide is the process of globalization.",0
"The human digestive system breaks down food for nutrient absorption.","Nutrient absorption is facilitated by breaking down food in the human digestive system.",0
"The concept of time dilation is explored in the theory of relativity.","The theory of relativity explores the concept of time dilation.",0
"Geothermal energy is harnessed from the Earth's internal heat.","Harnessing Earth's internal heat is involved in geothermal energy.",0
"The periodic table organizes elements based on their properties.","Organizing elements based on properties is the role of the periodic table.",0
"The concept of nature versus nurture is debated in psychology.","Psychology debates the concept of nature versus nurture.",0
"The human endocrine system regulates hormone production.","Regulating hormone production is the role of the human endocrine system.",0
"The concept of dark matter is a mystery in astrophysics.","Astrophysics considers dark matter as a mystery.",0
"The evolution of species is driven by genetic variation.","Genetic variation drives the evolution of species.",0
"The concept of supply chain management is crucial for efficient logistics.","Efficient logistics relies on the crucial concept of supply chain management.",0
"The process of meiosis is involved in sexual reproduction.","Sexual reproduction involves the process of meiosis.",0
"The concept of cognitive dissonance is explored in psychology.","Psychology explores the concept of cognitive dissonance.",0
"The human muscular system enables movement and stability.","Movement and stability are enabled by the human muscular system.",0
"The concept of inflation is a key factor in macroeconomics.","Macroeconomics considers inflation as a key factor.",0
"Wind turbines convert wind energy into electricity.","Converting wind energy into electricity is achieved by wind turbines.",0
"The concept of climate change is a major environmental concern.","A major environmental concern is the concept of climate change.",0
"The human visual system processes information from the eyes.","Processing information from the eyes is performed by the human visual system.",0
"The concept of string theory is explored in theoretical physics.","Theoretical physics explores the concept of string theory.",0
"The process of urbanization involves the growth of cities.","The growth of cities is involved in the process of urbanization.",0
"The human nervous system transmits signals between the brain and body.","Transmitting signals between the brain and body is the role of the human nervous system.",0
"The concept of plate tectonics explains the movement of Earth's lithosphere.","Explaining the movement of Earth's lithosphere is the concept of plate tectonics.",0
"The industrial revolution transformed manufacturing processes.","Manufacturing processes were transformed by the industrial revolution.",0
"The concept of biodiversity conservation is essential for ecological balance.","Ecological balance relies on the essential concept of biodiversity conservation.",0
"The process of photosynthesis is fundamental for plant growth.","Fundamental for plant growth is the process of photosynthesis.",0
"The human skeletal system provides structure and support.","Structure and support are provided by the human skeletal system.",0
"The concept of quantum entanglement is a phenomenon in quantum mechanics.","A phenomenon in quantum mechanics is the concept of quantum entanglement.",0
"The process of cellular respiration generates energy for cells.","Cells generate energy through the process of cellular respiration.",0
"The concept of artificial intelligence dates back to ancient history.","Ancient history includes the concept of artificial intelligence.",0
"The human reproductive system is responsible for producing offspring.","Producing offspring is the responsibility of the human reproductive system.",0
"The concept of cognitive development is studied in psychology.","Psychology studies the concept of cognitive development.",0
"The process of fermentation is used in the production of certain foods.","Producing certain foods involves the process of fermentation.",0
"The concept of gravity explains the attraction between objects with mass.","Attraction between objects with mass is explained by the concept of gravity.",0
"The human circulatory system transports blood throughout the body.","Transporting blood throughout the body is the role of the human circulatory system.",0
"The concept of artificial neural networks is integral to machine learning.","Integral to machine learning is the concept of artificial neural networks.",0
"The process of pollination is crucial for plant reproduction.","Plant reproduction relies on the crucial process of pollination.",0
"The concept of corporate social responsibility is important in business ethics.","Business ethics emphasizes the importance of corporate social responsibility.",0
"The human endocrine system regulates hormone production.","Regulating hormone production is the role of the human endocrine system.",0
"The concept of string theory is explored in theoretical physics.","Theoretical physics explores the concept of string theory.",0
"The process of urbanization involves the growth of cities.","The growth of cities is involved in the process of urbanization.",0
"The human nervous system transmits signals between the brain and body.","Transmitting signals between the brain and body is the role of the human nervous system.",0
"The concept of plate tectonics explains the movement of Earth's lithosphere.","Explaining the movement of Earth's lithosphere is the concept of plate tectonics.",0
"The industrial revolution transformed manufacturing processes.","Manufacturing processes were transformed by the industrial revolution.",0
"The concept of biodiversity conservation is essential for ecological balance.","Ecological balance relies on the essential concept of biodiversity conservation.",0
"The process of photosynthesis is fundamental for plant growth.","Fundamental for plant growth is the process of photosynthesis.",0
"The human skeletal system provides structure and support.","Structure and support are provided by the human skeletal system.",0
"The concept of quantum entanglement is a phenomenon in quantum mechanics.","A phenomenon in quantum mechanics is the concept of quantum entanglement.",0
"The process of cellular respiration generates energy for cells.","Cells generate energy through the process of cellular respiration.",0
"The concept of artificial intelligence dates back to ancient history.","Ancient history includes the concept of artificial intelligence.",0
"The human reproductive system is responsible for producing offspring.","Producing offspring is the responsibility of the human reproductive system.",0
"The concept of cognitive development is studied in psychology.","Psychology studies the concept of cognitive development.",0
"The process of fermentation is used in the production of certain foods.","Producing certain foods involves the process of fermentation.",0
"The concept of gravity explains the attraction between objects with mass.","Attraction between objects with mass is explained by the concept of gravity.",0
"The human circulatory system transports blood throughout the body.","Transporting blood throughout the body is the role of the human circulatory system.",0
"The concept of artificial neural networks is integral to machine learning.","Integral to machine learning is the concept of artificial neural networks.",0
"The process of pollination is crucial for plant reproduction.","Plant reproduction relies on the crucial process of pollination.",0
"The concept of corporate social responsibility is important in business ethics.","Business ethics emphasizes the importance of corporate social responsibility.",0
"The human endocrine system regulates hormone production.","Regulating hormone production is the role of the human endocrine system.",0
"The concept of string theory is explored in theoretical physics.","Theoretical physics explores the concept of string theory.",0
"The process of urbanization involves the growth of cities.","The growth of cities is involved in the process of urbanization.",0
"The human nervous system transmits signals between the brain and body.","Transmitting signals between the brain and body is the role of the human nervous system.",0
"The concept of plate tectonics explains the movement of Earth's lithosphere.","Explaining the movement of Earth's lithosphere is the concept of plate tectonics.",0
"The industrial revolution transformed manufacturing processes.","Manufacturing processes were transformed by the industrial revolution.",0
"The concept of biodiversity conservation is essential for ecological balance.","Ecological balance relies on the essential concept of biodiversity conservation.",0
